current_season,report_period_order,report_period_label,current_period_end_date,historical_season_count,minimum_crush_tonnes,percentile_25_crush_tonnes,median_crush_tonnes,mean_crush_tonnes,percentile_75_crush_tonnes,maximum_crush_tonnes,interquartile_range_tonnes,current_cumulative_crush_tonnes
26-27,1,Apr 16,2026-04-16,16,1645300,5998779.25,7584294.0,8597909.625,11288761.5,20807630,5289982.25,11007246.0
26-27,2,May 01,2026-05-01,16,6649075,19196975.0,24351059.0,25311804.5625,33006321.25,43810763,13809346.25,34213121.0
26-27,3,May 16,2026-05-16,16,17974393,41573906.0,48638164.5,48507570.9375,58573430.5,69016962,16999524.5,59143669.0
26-27,4,Jun 01,2026-06-01,16,40846050,66674307.0,73812624.0,73054041.5,83712873.5,90611341,17038566.5,81126838.0
26-27,5,Jun 16,,16,54990164,90251952.25,96670368.5,95748997.375,102620527.75,115684179,12368575.5,
26-27,6,Jul 01,,16,73734195,114395674.0,122283793.5,121475460.25,130867162.5,141971094,16471488.5,
26-27,7,Jul 16,,16,99932932,138743142.0,149960779.0,147447620.6875,158666762.0,168430617,19923620.0,
26-27,8,Aug 01,,16,128251403,165537916.25,178631218.0,175926524.375,188053702.5,198524550,22515786.25,
26-27,9,Aug 16,,16,155844976,193016687.0,204435036.5,201902375.1875,210749634.5,225954441,17732947.5,
26-27,10,Sep 01,,16,184929103,222376558.25,229618979.5,228477432.125,237133083.5,251300957,14756525.25,
26-27,11,Sep 16,,16,211038024,247144449.25,256433109.0,252371501.0625,260334507.75,277373078,13190058.5,
26-27,12,Oct 01,,16,229890747,266007845.5,275745301.0,273395552.3125,284835734.75,301059813,18827889.25,
26-27,13,Oct 16,,16,254404887,282757361.25,294609457.0,292385935.3125,302394279.25,322664494,19636918.0,
26-27,14,Nov 01,,16,276906174,299350130.75,314774759.0,310560872.25,322125574.25,338954795,22775443.5,
26-27,15,Nov 16,,16,294851457,311124866.5,329411997.0,324186441.25,337491377.5,350341913,26366511.0,
26-27,16,Dec 01,,16,298428869,320414707.5,337080729.0,333964722.0625,349997568.75,365357371,29582861.25,
26-27,17,Dec 16,,16,298619551,328192520.0,341788361.0,339449988.25,354252982.0,379084169,26060462.0,
26-27,18,Jan 01,,16,298619551,329180524.25,345317620.5,341072544.8125,354617240.0,382317366,25436715.75,
26-27,19,Jan 16,,16,298619551,329341857.5,345399836.5,341335141.5625,354785802.25,382844005,25443944.75,
26-27,20,Feb 01,,16,298619551,329517393.5,345411717.0,341545167.5625,354811893.25,383266020,25294499.75,
26-27,21,Feb 16,,16,298619551,329550378.0,345463998.5,341700136.6875,355132250.5,383461575,25581872.5,
26-27,22,Mar 01,,16,298619551,329625448.5,345529475.0,341783770.375,355306325.5,383629813,25680877.0,
26-27,23,Mar 16,,16,298619551,329957964.25,346824846.0,342534339.9375,356427473.75,384977788,26469509.5,
26-27,24,Apr 01,,16,298688304,332690554.5,350408167.0,345245955.3125,359584492.0,387602573,26893937.5,
